date,headline_text,primary_category,categories,is_market_prices,is_supply_geopolitics,is_consumer_fuel,market_match_rule,supply_match_rule,consumer_match_rule,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
2003-03-25,major hopes for shale oil,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.4215,0.412,0.0,0.588,positive
2003-03-25,petrol prices expected to drop,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.2732,0.0,0.344,0.656,negative
2003-03-28,accc drops oil industry investigation,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-03-28,oil giants welcome accc backdown,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.4588,0.429,0.0,0.571,positive
2003-03-28,oil up as investors consider extended war,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_event,,-0.5994,0.0,0.394,0.606,negative
2003-03-28,petrol prices fall in albany,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-03-29,analyst predicts lower petrol prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.296,0.0,0.355,0.645,negative
2003-03-30,iraq rejects renewed un oil for food resolution,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,-0.4939,0.0,0.314,0.686,negative
2003-03-30,oil cartel denies backing us led war,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_event,,-0.765,0.093,0.568,0.339,negative
2003-03-30,warplanes cut republican guard fuel supply,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.2732,0.0,0.296,0.704,negative
2003-03-31,oil firm considers cliff head production,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-03-31,racq hopes central qld fuel prices to fall soon,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.4215,0.259,0.0,0.741,positive
2003-03-31,us timed launch of war to save iraqi oil wells,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_event,,0.0772,0.323,0.242,0.435,positive
2003-04-02,raa predicts drop in country fuel prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.2732,0.0,0.259,0.741,negative
2003-04-07,epa hopes to finalise shale oil emissions report,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.4215,0.286,0.0,0.714,positive
2003-04-08,port stanvac oil refinery to stop production,supply_geopolitics,supply_geopolitics,False,True,False,,oil_refinery_operations,,-0.296,0.0,0.268,0.732,negative
2003-04-12,rann condemns mobil for sa oil refinery closure,supply_geopolitics,supply_geopolitics,False,True,False,,oil_refinery_operations,,-0.5106,0.0,0.32,0.68,negative
2003-04-15,51m funding boost for shale oil project,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.4019,0.31,0.0,0.69,positive
2003-04-16,us shut down oil pipeline to syria,supply_geopolitics,supply_geopolitics,False,True,False,,oil_infrastructure_disruption,,0.0,0.0,0.0,1.0,neutral
2003-04-18,petrol prices no cause for alarm racq,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.5574,0.0,0.479,0.521,negative
2003-04-21,ex general to head iraqs opec delegation,supply_geopolitics,supply_geopolitics,False,True,False,,opec,,0.0,0.0,0.0,1.0,neutral
2003-04-24,oil prices slump,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-04-25,opec cuts production to buoy oil prices,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,opec,,-0.296,0.0,0.268,0.732,negative
2003-05-06,group says no evidence of fuel price fixing,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.296,0.0,0.239,0.761,negative
2003-05-06,shale oil production could meet aust needs spp,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2003-05-08,groups seeking more equitable fuel prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
