event_id,anchor_date,anchor_direction,anchor_absolute_return_pct,relative_trading_day,observation_date,observation_brent_price,all_oil_rate,all_oil_count,market_prices_rate,market_prices_count,supply_geopolitics_rate,supply_geopolitics_count,consumer_fuel_rate,consumer_fuel_count,all_oil_pre_event_baseline,all_oil_excess_over_baseline,market_prices_pre_event_baseline,market_prices_excess_over_baseline,supply_geopolitics_pre_event_baseline,supply_geopolitics_excess_over_baseline,consumer_fuel_pre_event_baseline,consumer_fuel_excess_over_baseline
1,2003-03-21,decrease,8.607142857142858,-5,2003-03-14,31.48,4.366812227074235,1,0.0,0,0.0,0,4.366812227074235,1,3.313925278990781,1.0528869480834544,1.1111111111111112,-1.1111111111111112,0.0,0.0,2.20281416787967,2.163998059194565
1,2003-03-21,decrease,8.607142857142858,-4,2003-03-17,30.35,0.0,0,0.0,0,0.0,0,0.0,0,3.313925278990781,-3.313925278990781,1.1111111111111112,-1.1111111111111112,0.0,0.0,2.20281416787967,-2.20281416787967
1,2003-03-21,decrease,8.607142857142858,-3,2003-03-18,28.55,0.0,0,0.0,0,0.0,0,0.0,0,3.313925278990781,-3.313925278990781,1.1111111111111112,-1.1111111111111112,0.0,0.0,2.20281416787967,-2.20281416787967
1,2003-03-21,decrease,8.607142857142858,-2,2003-03-19,28.4,8.88888888888889,2,4.444444444444445,1,0.0,0,4.444444444444445,1,3.313925278990781,5.574963609898108,1.1111111111111112,3.3333333333333335,0.0,0.0,2.20281416787967,2.2416302765647744
1,2003-03-21,decrease,8.607142857142858,-1,2003-03-20,28.0,18.2648401826484,4,0.0,0,13.6986301369863,3,4.5662100456621,1,3.313925278990781,14.950914903657619,1.1111111111111112,-1.1111111111111112,0.0,13.6986301369863,2.20281416787967,2.3633958777824295
1,2003-03-21,decrease,8.607142857142858,0,2003-03-21,25.59,9.30232558139535,2,4.651162790697675,1,9.30232558139535,2,0.0,0,3.313925278990781,5.988400302404568,1.1111111111111112,3.5400516795865635,0.0,9.30232558139535,2.20281416787967,-2.20281416787967
1,2003-03-21,decrease,8.607142857142858,1,2003-03-24,26.54,17.167381974248926,4,4.291845493562231,1,17.167381974248926,4,0.0,0,3.313925278990781,13.853456695258146,1.1111111111111112,3.1807343824511203,0.0,17.167381974248926,2.20281416787967,-2.20281416787967
1,2003-03-21,decrease,8.607142857142858,2,2003-03-25,27.28,8.547008547008549,2,0.0,0,4.273504273504274,1,4.273504273504274,1,3.313925278990781,5.233083268017768,1.1111111111111112,-1.1111111111111112,0.0,4.273504273504274,2.20281416787967,2.070690105624604
1,2003-03-21,decrease,8.607142857142858,3,2003-03-26,25.98,0.0,0,0.0,0,0.0,0,0.0,0,3.313925278990781,-3.313925278990781,1.1111111111111112,-1.1111111111111112,0.0,0.0,2.20281416787967,-2.20281416787967
1,2003-03-21,decrease,8.607142857142858,4,2003-03-27,27.29,0.0,0,0.0,0,0.0,0,0.0,0,3.313925278990781,-3.313925278990781,1.1111111111111112,-1.1111111111111112,0.0,0.0,2.20281416787967,-2.20281416787967
1,2003-03-21,decrease,8.607142857142858,5,2003-03-28,27.66,17.937219730941703,4,0.0,0,13.45291479820628,3,4.484304932735426,1,3.313925278990781,14.623294451950922,1.1111111111111112,-1.1111111111111112,0.0,13.45291479820628,2.20281416787967,2.2814907648557554
2,2003-06-30,increase,5.2094717668488055,-5,2003-06-23,27.13,0.0,0,0.0,0,0.0,0,0.0,0,1.0460251046025104,-1.0460251046025104,0.0,0.0,1.0460251046025104,-1.0460251046025104,0.0,0.0
2,2003-06-30,increase,5.2094717668488055,-4,2003-06-24,26.96,0.0,0,0.0,0,0.0,0,0.0,0,1.0460251046025104,-1.0460251046025104,0.0,0.0,1.0460251046025104,-1.0460251046025104,0.0,0.0
2,2003-06-30,increase,5.2094717668488055,-3,2003-06-25,27.34,0.0,0,0.0,0,0.0,0,0.0,0,1.0460251046025104,-1.0460251046025104,0.0,0.0,1.0460251046025104,-1.0460251046025104,0.0,0.0
2,2003-06-30,increase,5.2094717668488055,-2,2003-06-26,27.06,4.184100418410042,1,0.0,0,4.184100418410042,1,0.0,0,1.0460251046025104,3.1380753138075312,0.0,0.0,1.0460251046025104,3.1380753138075312,0.0,0.0
2,2003-06-30,increase,5.2094717668488055,-1,2003-06-27,27.45,0.0,0,0.0,0,0.0,0,0.0,0,1.0460251046025104,-1.0460251046025104,0.0,0.0,1.0460251046025104,-1.0460251046025104,0.0,0.0
2,2003-06-30,increase,5.2094717668488055,0,2003-06-30,28.88,0.0,0,0.0,0,0.0,0,0.0,0,1.0460251046025104,-1.0460251046025104,0.0,0.0,1.0460251046025104,-1.0460251046025104,0.0,0.0
2,2003-06-30,increase,5.2094717668488055,1,2003-07-01,28.33,4.366812227074235,1,0.0,0,0.0,0,4.366812227074235,1,1.0460251046025104,3.320787122471725,0.0,0.0,1.0460251046025104,-1.0460251046025104,0.0,4.366812227074235
2,2003-06-30,increase,5.2094717668488055,2,2003-07-02,28.2,4.651162790697675,1,0.0,0,0.0,0,4.651162790697675,1,1.0460251046025104,3.6051376860951643,0.0,0.0,1.0460251046025104,-1.0460251046025104,0.0,4.651162790697675
