date,brent_price,price_change,daily_return,daily_return_pct,absolute_return,absolute_return_pct,return_direction,is_extreme_p90,is_extreme_p95,is_extreme_p99,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,market_price_share,supply_geopolitics_share,consumer_fuel_share
2020-04-16,18.69,-1.1099999999999994,-0.05606060606060603,-5.606060606060604,0.05606060606060603,5.606060606060604,decrease,True,True,False,112,0,0,0,0,0.0,0.0,0.0,0.0
2018-11-23,57.69,-3.4200000000000017,-0.055964653902798256,-5.596465390279826,0.055964653902798256,5.596465390279826,decrease,True,True,False,141,0,0,0,0,0.0,0.0,0.0,0.0
2008-09-18,90.89,4.799999999999997,0.055755604599837305,5.5755604599837305,0.055755604599837305,5.5755604599837305,increase,True,True,False,244,0,0,0,0,0.0,0.0,0.0,0.0
2016-11-15,44.15,2.3200000000000003,0.05546258666029158,5.546258666029158,0.05546258666029158,5.546258666029158,increase,True,True,False,194,0,0,0,0,0.0,0.0,0.0,0.0
2004-06-01,39.05,2.049999999999997,0.055405405405405395,5.5405405405405395,0.055405405405405395,5.5405405405405395,increase,True,True,False,242,7,3,2,3,0.0289256198347107,0.012396694214876,0.0082644628099173,0.012396694214876
2021-01-05,53.16,2.789999999999999,0.05539011316259668,5.539011316259668,0.05539011316259668,5.539011316259668,increase,True,True,False,111,0,0,0,0,0.0,0.0,0.0,0.0
2005-01-06,43.25,2.25,0.054878048780487854,5.487804878048785,0.054878048780487854,5.487804878048785,increase,True,True,False,231,2,2,0,0,0.0086580086580086,0.0086580086580086,0.0,0.0
2006-09-20,59.09,-3.4299999999999997,-0.05486244401791429,-5.48624440179143,0.05486244401791429,5.48624440179143,decrease,True,True,False,240,1,0,0,1,0.0041666666666666,0.0,0.0,0.0041666666666666
2009-02-25,42.37,2.1899999999999977,0.05450472872075651,5.450472872075651,0.05450472872075651,5.450472872075651,increase,True,True,False,242,0,0,0,0,0.0,0.0,0.0,0.0
2009-01-07,46.23,-2.6600000000000037,-0.054407854366946284,-5.440785436694629,0.054407854366946284,5.440785436694629,decrease,True,True,False,242,1,0,1,0,0.0041322314049586,0.0,0.0041322314049586,0.0
2021-08-23,69.07,3.559999999999988,0.0543428484200883,5.43428484200883,0.0543428484200883,5.43428484200883,increase,True,True,False,57,0,0,0,0,0.0,0.0,0.0,0.0
2006-01-03,61.51,3.1699999999999946,0.05433664724031528,5.433664724031528,0.05433664724031528,5.433664724031528,increase,True,True,False,205,1,0,0,1,0.0048780487804878,0.0,0.0,0.0048780487804878
2020-06-24,40.4,-2.3200000000000003,-0.054307116104868935,-5.4307116104868935,0.054307116104868935,5.4307116104868935,decrease,True,True,False,147,0,0,0,0,0.0,0.0,0.0,0.0
