date,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,oil_share_per_1000,market_price_share,market_price_share_per_1000,supply_geopolitics_share,supply_geopolitics_share_per_1000,consumer_fuel_share,consumer_fuel_share_per_1000
2003-04-04,207,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-05,177,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-06,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-07,216,1,0,1,0,0.004629629629629629,4.62962962962963,0.0,0.0,0.004629629629629629,4.62962962962963,0.0,0.0
2003-04-08,212,1,0,1,0,0.0047169811320754715,4.716981132075471,0.0,0.0,0.0047169811320754715,4.716981132075471,0.0,0.0
2003-04-09,219,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-10,215,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-11,202,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-12,155,1,0,1,0,0.0064516129032258064,6.451612903225806,0.0,0.0,0.0064516129032258064,6.451612903225806,0.0,0.0
2003-04-13,171,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-14,210,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-15,234,1,0,1,0,0.004273504273504274,4.273504273504274,0.0,0.0,0.004273504273504274,4.273504273504274,0.0,0.0
2003-04-16,221,1,0,1,0,0.004524886877828055,4.524886877828055,0.0,0.0,0.004524886877828055,4.524886877828055,0.0,0.0
2003-04-17,237,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-18,195,1,0,0,1,0.005128205128205128,5.128205128205129,0.0,0.0,0.0,0.0,0.005128205128205128,5.128205128205129
2003-04-19,195,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-20,184,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-21,210,1,0,1,0,0.004761904761904762,4.761904761904763,0.0,0.0,0.004761904761904762,4.761904761904763,0.0,0.0
2003-04-22,220,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-23,214,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
