year,trading_days,mean_brent_price,mean_daily_return_pct,mean_absolute_return_pct,maximum_absolute_return_pct,extreme_days_p90,extreme_days_p95,extreme_days_p99,extreme_day_share_p95
2003,224,28.43450892857143,-0.014464923311022984,1.7219882200669903,8.607142857142858,26,11,1,0.049107142857142856
2004,259,38.246833976833976,0.13906686024886145,1.7950075341829128,12.152308938698342,26,13,2,0.05019305019305019
2005,256,54.5900390625,0.16343807663454377,1.52766348809317,6.986820725762765,21,9,0,0.03515625
2006,253,65.17893280632411,0.023587051368142948,1.563969621226238,5.48624440179143,23,5,0,0.019762845849802372
2007,249,72.3621686746988,0.20141159587053706,1.3802500107931432,6.091370558375653,12,2,0,0.008032128514056224
2008,253,96.94434782608695,-0.3309332592149719,2.19144257159661,15.491672370522469,51,24,9,0.09486166007905138
2009,252,61.73876984126984,0.3615817886099129,2.3692499367094264,19.877163595756553,50,30,6,0.11904761904761904
2010,252,79.60944444444445,0.08728480225462776,1.3682259572343312,5.899432493071133,13,6,0,0.023809523809523808
2011,248,111.26427419354839,0.07532422145032237,1.3015135289665263,7.914438502673793,15,4,0,0.016129032258064516
2012,249,111.57068273092369,0.02042966763402498,1.117031416688508,5.035624879645684,5,3,0,0.012048192771084338
2013,252,108.555,0.003106383421446034,0.8532626505058933,4.266347687400329,1,0,0,0.0
2014,254,98.9696062992126,-0.26394134989541534,0.8133115166839073,7.106861351595817,3,1,0,0.003937007874015748
2015,255,52.31654901960784,-0.12901433047859895,1.8987468146408901,8.880471380471366,43,20,1,0.0784313725490196
2016,255,43.638000000000005,0.20134416753693474,2.183767510361402,10.40231968104386,53,35,5,0.13725490196078433
2017,256,54.1248046875,0.08909893191562214,1.22806094184294,4.971857410881797,10,3,0,0.01171875
2018,252,71.335,-0.09281372521614538,1.3825887657752463,6.709320421926335,16,7,0,0.027777777777777776
2019,257,64.30062256809337,0.13568302552112327,1.5236394888507583,11.706122448979595,25,11,1,0.042801556420233464
2020,254,41.859566929133855,0.13873739403277743,3.481143815970235,50.986842105263165,68,47,21,0.18503937007874016
2021,253,70.85533596837945,0.18510723333754822,1.5524118496884678,11.797684338817781,18,9,2,0.03557312252964427
