date,sentiment_headline_count,mean_sentiment,median_sentiment,mean_positive_score,mean_negative_score,mean_neutral_score,positive_headlines,negative_headlines,neutral_headlines,positive_headline_share,negative_headline_share,neutral_headline_share,market_headline_count,market_mean_sentiment,market_median_sentiment,market_mean_positive_score,market_mean_negative_score,market_mean_neutral_score,market_positive_headlines,market_negative_headlines,market_neutral_headlines,market_positive_headline_share,market_negative_headline_share,market_neutral_headline_share,supply_headline_count,supply_mean_sentiment,supply_median_sentiment,supply_mean_positive_score,supply_mean_negative_score,supply_mean_neutral_score,supply_positive_headlines,supply_negative_headlines,supply_neutral_headlines,supply_positive_headline_share,supply_negative_headline_share,supply_neutral_headline_share,consumer_headline_count,consumer_mean_sentiment,consumer_median_sentiment,consumer_mean_positive_score,consumer_mean_negative_score,consumer_mean_neutral_score,consumer_positive_headlines,consumer_negative_headlines,consumer_neutral_headlines,consumer_positive_headline_share,consumer_negative_headline_share,consumer_neutral_headline_share
2003-03-24,4,0.074875,0.11315,0.18725,0.087,0.72575,2,1,1,0.5,0.25,0.25,1,-0.1531,-0.1531,0.295,0.348,0.357,0,1,0,0.0,1.0,0.0,4,0.074875,0.11315,0.18725,0.087,0.72575,2,1,1,0.5,0.25,0.25,0,,,,,,0,0,0,,,
2003-03-25,2,0.07415,0.07415,0.206,0.172,0.622,1,1,0,0.5,0.5,0.0,0,,,,,,0,0,0,,,,1,0.4215,0.4215,0.412,0.0,0.588,1,0,0,1.0,0.0,0.0,1,-0.2732,-0.2732,0.0,0.344,0.656,0,1,0,0.0,1.0,0.0
2003-03-28,4,-0.035150000000000015,0.0,0.10725,0.0985,0.79425,1,1,2,0.25,0.25,0.5,0,,,,,,0,0,0,,,,3,-0.04686666666666669,0.0,0.143,0.13133333333333333,0.7256666666666667,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-03-29,1,-0.296,-0.296,0.0,0.355,0.645,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.296,-0.296,0.0,0.355,0.645,0,1,0,0.0,1.0,0.0
2003-03-30,3,-0.5107,-0.4939,0.031,0.39266666666666666,0.5763333333333334,0,3,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,3,-0.5107,-0.4939,0.031,0.39266666666666666,0.5763333333333334,0,3,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-03-31,3,0.16623333333333332,0.0772,0.19400000000000003,0.08066666666666666,0.7253333333333334,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0,,,,,,0,0,0,,,,2,0.0386,0.0386,0.1615,0.121,0.7175,1,0,1,0.5,0.0,0.5,1,0.4215,0.4215,0.259,0.0,0.741,1,0,0,1.0,0.0,0.0
2003-04-02,1,-0.2732,-0.2732,0.0,0.259,0.741,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.2732,-0.2732,0.0,0.259,0.741,0,1,0,0.0,1.0,0.0
2003-04-07,1,0.4215,0.4215,0.286,0.0,0.714,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.4215,0.4215,0.286,0.0,0.714,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
2003-04-08,1,-0.296,-0.296,0.0,0.268,0.732,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.296,-0.296,0.0,0.268,0.732,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-04-12,1,-0.5106,-0.5106,0.0,0.32,0.68,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.5106,-0.5106,0.0,0.32,0.68,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-04-15,1,0.4019,0.4019,0.31,0.0,0.69,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.4019,0.4019,0.31,0.0,0.69,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
2003-04-16,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-04-18,1,-0.5574,-0.5574,0.0,0.479,0.521,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.5574,-0.5574,0.0,0.479,0.521,0,1,0,0.0,1.0,0.0
2003-04-21,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-04-24,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,
2003-04-25,1,-0.296,-0.296,0.0,0.268,0.732,0,1,0,0.0,1.0,0.0,1,-0.296,-0.296,0.0,0.268,0.732,0,1,0,0.0,1.0,0.0,1,-0.296,-0.296,0.0,0.268,0.732,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-05-06,2,-0.148,-0.148,0.0,0.1195,0.8805000000000001,0,1,1,0.0,0.5,0.5,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,1,-0.296,-0.296,0.0,0.239,0.761,0,1,0,0.0,1.0,0.0
2003-05-08,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-05-10,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-05-16,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-05-22,2,0.1806,0.1806,0.1315,0.0,0.8685,1,0,1,0.5,0.0,0.5,0,,,,,,0,0,0,,,,1,0.3612,0.3612,0.263,0.0,0.737,1,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-05-23,1,-0.25,-0.25,0.0,0.286,0.714,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.25,-0.25,0.0,0.286,0.714,0,1,0,0.0,1.0,0.0
2003-05-24,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-05-25,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-05-26,1,-0.4939,-0.4939,0.0,0.39,0.61,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.4939,-0.4939,0.0,0.39,0.61,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-05-28,1,0.4019,0.4019,0.403,0.0,0.597,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.4019,0.4019,0.403,0.0,0.597,1,0,0,1.0,0.0,0.0
2003-05-29,1,0.296,0.296,0.395,0.256,0.349,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.296,0.296,0.395,0.256,0.349,1,0,0,1.0,0.0,0.0
2003-06-06,1,-0.0516,-0.0516,0.0,0.146,0.854,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.0516,-0.0516,0.0,0.146,0.854,0,1,0,0.0,1.0,0.0
2003-06-11,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-06-12,1,-0.25,-0.25,0.0,0.333,0.667,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.25,-0.25,0.0,0.333,0.667,0,1,0,0.0,1.0,0.0
2003-06-13,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-06-14,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-06-18,1,0.3612,0.3612,0.294,0.0,0.706,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.3612,0.3612,0.294,0.0,0.706,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
2003-06-19,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-06-21,1,-0.296,-0.296,0.0,0.268,0.732,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.296,-0.296,0.0,0.268,0.732,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
