metric,metric_label,relative_trading_day,n_events,mean_rate,median_rate,standard_error,normal_approx_ci_95_lower,normal_approx_ci_95_upper,mean_excess_over_pre_event_baseline,median_excess_over_pre_event_baseline
all_oil,All oil coverage,-5,82,3.1485877994224847,0.0,0.705968231148328,1.764890066371762,4.532285532473208,0.48560364399119765,0.0
all_oil,All oil coverage,-4,82,2.774159475008472,0.0,0.5583457783504938,1.6798017494415043,3.86851720057544,0.11117531957718545,0.0
all_oil,All oil coverage,-3,82,2.783329128786252,0.0,0.5512586749562728,1.7028621258719574,3.8637961317005467,0.12034497335496527,0.0
all_oil,All oil coverage,-2,82,1.9458602185079383,0.0,0.4132263323749186,1.1359366070530978,2.7557838299627786,-0.7171239369233483,0.0
all_oil,All oil coverage,-1,82,2.7394313044250587,0.0,0.6855462739852387,1.3957606074139908,4.083102001436126,0.076447148993772,0.0
all_oil,All oil coverage,0,82,3.943297775036076,0.0,0.683736107801001,2.603175003746114,5.283420546326038,1.2803136196047895,0.0
all_oil,All oil coverage,1,82,4.083746648755567,0.0,0.7681086799681086,2.5782536360180743,5.58923966149306,1.4207624933242806,0.0
all_oil,All oil coverage,2,82,3.6441829376724137,0.0,0.8072277852049038,2.0620164786708024,5.226349396674025,0.9811987822411267,0.0
all_oil,All oil coverage,3,82,2.846236878983319,0.0,0.7292980349728909,1.4168127304364526,4.275661027530185,0.18325272355203243,-0.02483141909798725
all_oil,All oil coverage,4,82,2.552827897542107,0.0,0.6008257864181578,1.3752093561625178,3.730446438921696,-0.11015625788917964,0.0
all_oil,All oil coverage,5,82,2.161198543966178,0.0,0.47126675423900316,1.237515705657732,3.084881382274624,-0.5017856114651086,0.0
market_prices,Market and prices,-5,82,0.6413787593255514,0.0,0.19241631075191143,0.264242790251805,1.018514728399298,-0.16752622040126813,0.0
market_prices,Market and prices,-4,82,0.8250035288271284,0.0,0.26562083977967577,0.30438668285896386,1.3456203747952928,0.01609854910030879,0.0
market_prices,Market and prices,-3,82,1.0368166615940926,0.0,0.3106615552320578,0.42792001333925933,1.6457133098489258,0.22791168186727306,0.0
market_prices,Market and prices,-2,82,0.7324209691605059,0.0,0.22266346738052056,0.29600057309468564,1.168841365226326,-0.07648401056631365,0.0
market_prices,Market and prices,-1,82,0.754231720052337,0.0,0.3241632835024189,0.11887168438759588,1.389591755717078,-0.05467325967448267,0.0
market_prices,Market and prices,0,82,1.8049081441185324,0.0,0.45896460614642703,0.9053375160715355,2.7044787721655292,0.9960031643917128,0.0
market_prices,Market and prices,1,82,1.9485884455541467,0.0,0.38631993481092186,1.19140137332474,2.7057755177835534,1.1396834658273274,0.0
market_prices,Market and prices,2,82,1.8514271947201035,0.0,0.5965295331502096,0.6822293097456926,3.0206250796945144,1.0425222149932836,0.0
market_prices,Market and prices,3,82,0.7035941225618101,0.0,0.2112467290071774,0.2895505337077424,1.1176377114158778,-0.10531085716500946,0.0
