metric,metric_label,rate_unit,n_extreme_days,n_normal_days,extreme_mean_rate,normal_mean_rate,mean_difference,mean_ratio,extreme_median_rate,normal_median_rate,bootstrap_ci_95_lower,bootstrap_ci_95_upper,mann_whitney_u,mann_whitney_p,extreme_days_with_any_coverage,normal_days_with_any_coverage,extreme_any_coverage_rate,normal_any_coverage_rate,coverage_odds_ratio,fisher_exact_p,mann_whitney_fdr_p,fisher_exact_fdr_p
all_oil,All oil coverage,headlines_per_1000_total_headlines,240,4542,3.478593183254623,2.2203126885580073,1.2582804946966157,1.5667131936780545,0.0,0.0,0.48793174509597226,2.049914224615275,600212.0,0.001094042733718193,90,1345,0.375,0.2961250550418318,1.4261710037174722,0.011294144366610203,0.002188085467436386,0.022588288733220406
market_prices,Market and prices,headlines_per_1000_total_headlines,240,4542,1.4199797433570656,0.5809569682718224,0.8390227750852431,2.44420812712014,0.0,0.0,0.38673145571721745,1.328608204937342,596719.5,1.8202195649545727e-06,45,431,0.1875,0.09489211800968736,2.201142245225772,1.9635883823350604e-05,7.280878259818291e-06,7.854353529340241e-05
supply_geopolitics,Supply and geopolitics,headlines_per_1000_total_headlines,240,4542,0.8885340908921285,0.5958185586590892,0.29271553223303937,1.4912830055039006,0.0,0.0,-0.09682163343415155,0.8021634265035138,546289.5,0.9118604385928891,26,496,0.10833333333333334,0.10920299427564949,0.9910687368103708,1.0,0.9118604385928891,1.0
consumer_fuel,Consumer fuel,headlines_per_1000_total_headlines,240,4542,1.554611733124986,1.1524155632452457,0.4021961698797403,1.3490027232425954,0.0,0.0,-0.01514481522543443,0.8592976331065115,573195.5,0.041878642516931554,52,790,0.21666666666666667,0.17393218846323205,1.3136547266361434,0.09817798986020579,0.0558381900225754,0.13090398648027438
